Open,O1,H1,L1,V1,O2,H2,L2,V2,O3,H3,L3,V3
158.5,157.07,157.89,150.24,70583530.0,160.29,161.0,155.03,54145930.0,163.09,163.4,159.07,51467440.0
116.43,116.04,117.65,115.5,40827260.0,114.32,116.31,114.01,42876370.0,116.04,116.4,114.54,48407640.0
176.18,174.59,175.49,174.49,18653380.0,173.16,174.3,173.0,23751690.0,174.55,175.06,173.41,21532200.0
225.46,223.64,227.27,222.25,26656630.0,222.21,224.8,220.2,28784550.0,227.96,228.41,220.58,33507770.0
110.0,109.17,110.09,108.85,26481320.0,110.37,110.94,109.03,37034520.0,111.6,112.2,110.27,36151450.0
93.37,94.0,94.07,92.68,35850220.0,95.2,95.9,93.82,40984160.0,94.2,95.74,93.68,56770080.0
98.53,98.5,99.99,98.46,26575570.0,99.02,99.56,98.68,20839950.0,99.25,99.87,98.96,22378380.0
105.58,104.81,105.84,104.77,30148360.0,106.05,106.07,104.0,33770220.0,104.41,106.15,104.41,38018910.0
191.64,189.83,190.08,188.54,23524830.0,188.95,189.56,187.53,20710390.0,188.75,189.76,186.55,29771210.0
101.52,98.63,101.46,98.37,65648660.0,97.06,97.88,94.94,52099200.0,95.1,98.19,93.42,72274300.0
139.3,138.85,139.43,138.82,17048800.0,139.25,139.36,138.64,19578920.0,138.74,138.79,137.05,22117750.0
169.0,170.49,172.57,169.55,31754210.0,170.4,171.92,169.02,35474680.0,171.66,171.79,167.0,45968040.0
175.21,172.8,176.3,172.45,38426060.0,178.54,179.78,172.66,48706170.0,179.26,180.62,178.05,37568080.0
220.54,220.0,220.94,218.83,19088310.0,218.55,221.5,217.14,22481010.0,221.03,222.49,217.19,31434370.0
169.95,170.43,172.14,168.44,41484540.0,172.63,172.92,167.16,41459120.0,174.3,174.87,171.86,26387240.0
102.61,107.01,107.03,104.82,40885480.0,108.58,108.7,107.18,25184090.0,106.96,109.43,106.86,30912260.0
187.25,186.35,187.2,185.73,20490090.0,185.14,186.33,183.45,33538550.0,187.88,189.22,187.2,18458410.0
160.5,160.86,161.15,158.53,28411740.0,162.09,162.24,160.36,21905160.0,162.71,162.99,160.52,21610300.0
162.62,165.67,166.33,161.22,33674960.0,166.84,166.92,164.09,36396590.0,170.6,171.22,165.43,65270950.0
179.1,176.35,179.39,176.21,37353670.0,173.67,175.65,173.54,33772050.0,171.8,173.95,171.71,30953760.0
170.52,171.0,171.85,170.48,16412270.0,170.1,170.78,169.71,21477380.0,170.8,171.47,169.68,33113340.0
100.78,102.39,102.83,100.96,35890740.0,102.37,103.75,101.37,46026600.0,100.58,101.71,100.45,36884490.0
207.67,208.46,208.91,207.29,18355210.0,203.65,207.23,203.61,22277930.0,205.79,206.5,202.36,20929310.0
143.66,143.78,144.5,142.2,50264540.0,143.32,144.48,142.21,31642900.0,147.5,147.5,143.84,31454590.0
218.06,217.86,219.74,213.0,32389280.0,222.3,222.64,219.34,22692880.0,218.93,222.99,216.76,28802550.0
92.9,93.0,93.05,91.5,45595680.0,92.91,94.66,92.65,75219710.0,95.94,96.29,95.25,32042290.0
162.09,162.71,162.99,160.52,21610300.0,163.75,164.25,160.56,29491910.0,164.8,164.94,163.63,16564340.0
268.7,262.74,267.37,261.23,42223820.0,270.8,271.7,259.0,50721830.0,250.9,263.11,249.38,50455070.0
332.14,330.25,333.6,327.32,23913630.0,323.35,331.75,323.23,34312550.0,324.39,325.62,320.78,21890090.0
218.43,223.06,223.58,217.93,35767260.0,225.07,228.22,224.2,36187160.0,220.9,224.58,220.79,26318580.0
116.04,112.53,115.42,109.63,101593400.0,117.81,118.18,113.33,96820670.0,116.53,119.99,116.53,54851010.0
164.8,163.64,164.52,163.48,26729940.0,163.8,163.89,162.61,27215770.0,160.1,163.12,160.0,29451050.0
216.42,208.76,210.16,207.31,33935720.0,208.46,210.64,208.44,21673390.0,207.48,209.73,207.14,17618870.0
106.05,104.41,106.15,104.41,38018910.0,104.19,104.55,103.68,27697970.0,102.83,104.45,102.82,38771840.0
317.92,318.58,319.99,317.31,25458120.0,317.19,319.02,316.0,27710810.0,316.27,318.74,315.0,34454120.0
200.4,201.9,205.34,201.75,26339500.0,205.88,207.42,200.83,38763700.0,204.29,208.84,203.5,32443110.0
265.54,267.9,268.0,265.39,19069600.0,265.8,267.43,264.23,21700900.0,263.68,265.78,263.01,25093670.0
297.26,318.62,320.45,310.5,32426420.0,322.63,324.65,318.21,25141490.0,320.0,324.57,320.0,23495990.0
114.42,114.35,114.94,114.0,31048170.0,113.85,113.99,112.44,35951900.0,113.05,114.12,112.51,34494150.0
178.92,180.2,182.14,178.62,23714690.0,179.8,180.54,177.81,36529740.0,184.66,185.71,182.55,29748560.0
111.43,111.13,111.87,110.95,11475920.0,111.36,111.51,110.33,27420550.0,111.95,112.42,111.4,25931710.0
376.72,375.41,378.62,372.23,28106110.0,370.0,375.78,369.87,29663910.0,367.85,370.47,363.64,28510370.0
107.83,107.9,108.3,107.51,26645130.0,107.7,108.0,106.82,26393770.0,106.14,106.8,105.62,26675250.0
147.16,145.74,146.09,142.51,72187710.0,155.19,155.19,146.02,64782910.0,155.25,155.54,154.4,21144040.0
145.52,146.87,146.87,144.94,24877950.0,143.66,146.74,143.66,32203640.0,143.78,144.5,142.2,50264540.0
221.85,226.23,227.35,221.3,34121240.0,228.99,229.67,225.1,33290830.0,228.41,229.18,226.63,27363960.0
185.8,184.85,187.33,183.74,39017490.0,183.9,184.1,182.56,23527660.0,182.25,183.3,180.92,30929740.0
130.97,129.08,129.62,128.31,45970470.0,127.74,128.57,127.35,35987630.0,125.72,127.15,125.58,33559770.0
99.02,99.6,100.4,98.82,42268040.0,99.44,100.47,99.25,36299460.0,99.68,100.73,98.64,56293490.0
220.0,224.8,226.42,222.86,32226670.0,218.07,223.71,217.73,44289650.0,213.86,216.78,211.71,31777930.0
277.14,263.75,278.09,263.0,71686210.0,282.0,290.82,281.23,56544250.0,295.52,299.55,291.41,46893220.0
108.91,112.02,112.25,108.98,44654830.0,111.07,111.99,108.8,56157370.0,111.94,112.8,110.35,53168580.0
320.75,317.75,322.35,317.21,20254650.0,319.25,321.15,316.47,38399530.0,316.77,323.44,315.63,33449100.0
218.07,213.86,216.78,211.71,31777930.0,214.84,216.44,211.07,27309400.0,214.05,214.42,212.51,19362290.0
131.35,130.54,132.09,130.45,38158410.0,129.13,130.5,128.9,26784530.0,128.31,129.19,128.16,24460160.0
187.74,186.55,187.4,185.22,23141260.0,184.99,186.22,183.67,28053230.0,185.18,187.67,184.75,42557530.0
315.77,318.66,320.89,315.87,25672210.0,316.68,319.52,316.2,27876220.0,315.03,318.52,313.01,25432390.0
95.92,94.29,95.94,93.93,44282560.0,93.13,95.7,93.04,53920550.0,96.52,96.92,93.69,46315620.0
221.0,219.75,222.82,219.7,22811140.0,216.82,221.26,216.63,27581270.0,220.78,221.36,217.29,95584080.0
247.18,247.39,252.84,242.61,67964260.0,239.77,250.0,237.12,75058410.0,247.51,257.61,238.4,81013970.0
171.25,169.71,171.26,169.38,21785180.0,171.39,172.48,169.92,22389660.0,170.1,171.0,169.7,22224400.0
317.75,319.25,321.15,316.47,38399530.0,316.77,323.44,315.63,33449100.0,316.14,318.71,313.09,28236270.0
316.68,315.03,318.52,313.01,25432390.0,313.17,316.5,310.32,33843130.0,300.35,307.9,300.21,41587090.0
163.64,163.8,163.89,162.61,27215770.0,160.1,163.12,160.0,29451050.0,160.14,162.0,159.93,25649890.0
319.25,316.77,323.44,315.63,33449100.0,316.14,318.71,313.09,28236270.0,323.5,324.24,316.5,31380450.0
180.95,184.46,184.94,181.21,40537700.0,180.29,180.33,177.03,39424260.0,182.66,182.8,177.7,41523580.0
139.06,139.37,139.77,138.6,21229890.0,138.78,139.83,138.59,21555370.0,140.0,140.28,138.76,26170690.0
107.52,106.27,107.65,106.18,39546610.0,105.58,106.0,105.28,26781730.0,104.81,105.84,104.77,30148360.0
143.71,143.72,144.27,143.01,19576480.0,144.19,144.5,143.5,21189000.0,143.68,144.49,143.19,29174040.0
